,EVALUATION_METRICS,CONFORMITY_DIST_MEANING,RECOMMENDER,CONFORMITY,TRADEOFF,DISTRIBUTION_LABEL,CALIBRATION_MEASURE,RELEVANCE,SELECTOR_LABEL,TRADEOFF_WEIGHT,COMBINATION
0,0.3231783179816664,USERS_CAND_ITEMS,SVD,SPECTRAL,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@1.0,SVD-SPECTRAL-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-C@1.0
1,0.3229972740716027,USERS_REC_LISTS,SVD,SPECTRAL,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@1.0,SVD-SPECTRAL-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-C@1.0
0,0.31940550437788945,USERS_CAND_ITEMS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,VAR,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-VAR
1,0.3214658724834164,USERS_REC_LISTS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,VAR,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-VAR
0,0.3250947214688953,USERS_CAND_ITEMS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,CGR,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-CGR
1,0.33250866087957887,USERS_REC_LISTS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,CGR,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-CGR
0,0.3280514804372532,USERS_CAND_ITEMS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.0,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-C@0.0
1,0.3223513027101704,USERS_REC_LISTS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.0,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-C@0.0
0,0.3250189149500996,USERS_CAND_ITEMS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.1,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-C@0.1
1,0.32759066014014704,USERS_REC_LISTS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.1,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-C@0.1
0,0.3280514804372532,USERS_CAND_ITEMS,SVD,FCM,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.2,SVD-FCM-LIN-CWS-VICIS_EMANON2-NDCG-SURROGATE-C@0.2
